Well / Set,Dye,Content,Description,Efficiency,C(t),copies,Avg C(t),Max C(t),Min C(t),C(t) SD,Avg copies,Max copies,Min copies,copies SD,Wellset Type
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A1,SBG1,Standard,,79.68%,5.66,1.00E+08,,,,,,,,,
A2,SBG1,Standard,,84.99%,6.3,1.00E+08,,,,,,,,,
A3,SBG1,Sample,log CB-D,74.89%,29.74,7.07,,,,,,,,,
A4,SBG1,Sample,log CB-D,77.97%,29.65,7.534,,,,,,,,,
A5,SBG1,Sample,log CB-D,87.38%,29.42,8.867,,,,,,,,,
A6,SBG1,Sample,late CB-AD,89.75%,27.99,24.56,,,,,,,,,
B1,SBG1,Standard,,89.10%,9.76,1.00E+07,,,,,,,,,
B2,SBG1,Standard,,89.97%,9.71,1.00E+07,,,,,,,,,
B3,SBG1,Sample,log CB-A,101.54%,12.69,1.29E+06,,,,,,,,,
B4,SBG1,Sample,log CB-A,99.94%,12.89,1.12E+06,,,,,,,,,
B5,SBG1,Sample,log CB-A,105.43%,12.71,1.28E+06,,,,,,,,,
B6,SBG1,Sample,late CB-AD,94.50%,28.74,14.36,,,,,,,,,
C1,SBG1,Standard,,85.67%,13.14,1.00E+06,,,,,,,,,
C2,SBG1,Standard,,90.21%,13.48,1.00E+06,,,,,,,,,
C3,SBG1,Sample,log CB-AD,70.55%,28.37,18.67,,,,,,,,,
C4,SBG1,Sample,log CB-AD,81.06%,28.37,18.65,,,,,,,,,
C5,SBG1,Sample,log CB-AD,77.40%,29.59,7.878,,,,,,,,,
C6,SBG1,Sample,late CB-AD,84.41%,29.05,11.51,,,,,,,,,
D1,SBG1,Standard,,79.66%,16.84,1.00E+05,,,,,,,,,
D2,SBG1,Standard,,83.98%,16.65,1.00E+05,,,,,,,,,
D3,SBG1,Sample,early CB-D,87.11%,28.8,13.82,,,,,,,,,
D4,SBG1,Sample,early CB-D,82.28%,28.22,20.84,,,,,,,,,
D5,SBG1,Sample,early CB-D,75.98%,29.71,7.236,,,,,,,,,
D6,SBG1,Blank,Blank,71.91%,29.96,6.044,,,,,,,,,
E1,SBG1,Standard,,74.35%,20.05,1.00E+04,,,,,,,,,
E2,SBG1,Standard,,76.95%,19.84,1.00E+04,,,,,,,,,
E3,SBG1,Sample,early CB-A,95.55%,13.24,8.73E+05,,,,,,,,,
E4,SBG1,Sample,early CB-A,117.71%,12.51,1.47E+06,,,,,,,,,
E5,SBG1,Sample,early CB-A,119.33%,12.62,1.35E+06,,,,,,,,,
E6,SBG1,Blank,Blank,70.92%,30.5,4.119,,,,,,,,,
F1,SBG1,Standard,,73.86%,23.6,1000,,,,,,,,,
F2,SBG1,Standard,,68.45%,23.66,1000,,,,,,,,,
F3,SBG1,Sample,early CB-AD,87.10%,28.29,19.82,,,,,,,,,
F4,SBG1,Sample,early CB-AD,90.77%,28.65,15.33,,,,,,,,,
F5,SBG1,Sample,early CB-AD,84.86%,29.67,7.419,,,,,,,,,
F6,SBG1,Blank,Blank,72.35%,30.2,5.113,,,,,,,,,
G1,SBG1,Standard,,60.71%,25.68,100,,,,,,,,,
G2,SBG1,Standard,,64.62%,25.72,100,,,,,,,,,
G3,SBG1,Sample,late CB-D,84.57%,29.12,10.99,,,,,,,,,
G4,SBG1,Sample,late CB-D,99.63%,28.98,12.12,,,,,,,,,
G5,SBG1,Sample,late CB-D,82.28%,29.11,11.03,,,,,,,,,
H1,SBG1,Standard,,53.25%,26.65,10,,,,,,,,,
H2,SBG1,Standard,,63.54%,27.23,10,,,,,,,,,
H3,SBG1,Sample,late CB-A,110.18%,12.61,1.37E+06,,,,,,,,,
H4,SBG1,Sample,late CB-A,119.42%,12.81,1.18E+06,,,,,,,,,
H5,SBG1,Sample,late CB-A,105.13%,12.61,1.37E+06,,,,,,,,,
