Well / Set,Dye,Content,Description,Efficiency,C(t),copies,Avg C(t),Max C(t),Min C(t),C(t) SD,Avg copies,Max copies,Min copies,copies SD,Wellset Type
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A1,SBG1,Standard,,83.96%,4.23,1.00E+08,,,,,,,,,
A2,SBG1,Standard,,99.40%,5.36,1.00E+08,,,,,,,,,
A3,SBG1,Sample,log CB-D,82.56%,25.01,113.6,,,,,,,,,
A4,SBG1,Sample,log CB-D,99.37%,24.02,225.7,,,,,,,,,
A5,SBG1,Sample,log CB-D,99.49%,24.65,146,,,,,,,,,
A6,SBG1,Sample,late CB-AD,126.50%,17.99,1.50E+04,,,,,,,,,
B1,SBG1,Standard,,91.82%,8.63,1.00E+07,,,,,,,,,
B2,SBG1,Standard,,91.73%,8.62,1.00E+07,,,,,,,,,
B3,SBG1,Sample,log CB-A,78.77%,24.65,146,,,,,,,,,
B4,SBG1,Sample,log CB-A,95.23%,25.4,86.59,,,,,,,,,
B5,SBG1,Sample,log CB-A,87.38%,24.8,131.1,,,,,,,,,
B6,SBG1,Sample,late CB-AD,135.49%,18.77,8689,,,,,,,,,
C1,SBG1,Standard,,94.27%,12.18,1.00E+06,,,,,,,,,
C2,SBG1,Standard,,89.94%,12.06,1.00E+06,,,,,,,,,
C3,SBG1,Sample,log CB-AD,101.23%,16.36,4.65E+04,,,,,,,,,
C4,SBG1,Sample,log CB-AD,104.06%,16.21,5.14E+04,,,,,,,,,
C5,SBG1,Sample,log CB-AD,106.92%,16.62,3.88E+04,,,,,,,,,
C6,SBG1,Sample,late CB-AD,114.23%,18.67,9297,,,,,,,,,
D1,SBG1,Standard,,90.51%,15.71,1.00E+05,,,,,,,,,
D2,SBG1,Standard,,106.22%,15.79,1.00E+05,,,,,,,,,
D3,SBG1,Sample,early CB-D,106.17%,21.31,1483,,,,,,,,,
D4,SBG1,Sample,early CB-D,116.29%,21.57,1237,,,,,,,,,
D5,SBG1,Sample,early CB-D,114.09%,21.84,1027,,,,,,,,,
D6,SBG1,Blank,Blank,73.10%,32.1,8.18E-01,,,,,,,,,
E1,SBG1,Standard,,101.99%,18.72,1.00E+04,,,,,,,,,
E2,SBG1,Standard,,87.99%,19.07,1.00E+04,,,,,,,,,
E3,SBG1,Sample,early CB-A,89.48%,24.75,136,,,,,,,,,
E4,SBG1,Sample,early CB-A,95.29%,24.2,1.99E+02,,,,,,,,,
E5,SBG1,Sample,early CB-A,94.48%,24.31,1.84E+02,,,,,,,,,
E6,SBG1,Blank,Blank,75.82%,32.97,4.47E-01,,,,,,,,,
F1,SBG1,Standard,,88.31%,22.32,1.00E+03,,,,,,,,,
F2,SBG1,Standard,,80.45%,22.13,1.00E+03,,,,,,,,,
F3,SBG1,Sample,early CB-AD,124.45%,15.95,6.15E+04,,,,,,,,,
F4,SBG1,Sample,early CB-AD,129.66%,15.47,8.63E+04,,,,,,,,,
F5,SBG1,Sample,early CB-AD,133.31%,15.8,6.85E+04,,,,,,,,,
F6,SBG1,Blank,Blank,80.63%,32.58,5.88E-01,,,,,,,,,
G1,SBG1,Standard,,77.34%,25.21,100,,,,,,,,,
G2,SBG1,Standard,,72.04%,25.67,100,,,,,,,,,
G3,SBG1,Sample,late CB-D,100.24%,23.52,319.7,,,,,,,,,
G4,SBG1,Sample,late CB-D,99.79%,24.12,210.6,,,,,,,,,
G5,SBG1,Sample,late CB-D,91.73%,24.17,2.04E+02,,,,,,,,,
H1,SBG1,Standard,,65.51%,25.27,1.00E+01,,,,,,,,,
H2,SBG1,Standard,,78.87%,26.36,1.00E+01,,,,,,,,,
H3,SBG1,Sample,late CB-A,88.32%,24.33,181.6,,,,,,,,,
H4,SBG1,Sample,late CB-A,97.93%,24.04,222.2,,,,,,,,,
H5,SBG1,Sample,late CB-A,90.20%,24.46,166.5,,,,,,,,,
