Well / Set,Dye,Content,Description,Efficiency,C(t),copies,Avg C(t),Max C(t),Min C(t),C(t) SD,Avg copies,Max copies,Min copies,copies SD,Wellset Type
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
A1,SBG1,Standard,,81.14%,5.07,1.00E+08,,,,,,,,,
A2,SBG1,Standard,,90.06%,4.91,1.00E+08,,,,,,,,,
A3,SBG1,Sample,log CB-D,111.30%,12.7,5.11E+05,,,,,,,,,
A4,SBG1,Sample,log CB-D,124.35%,11.63,1.04E+06,,,,,,,,,
A5,SBG1,Sample,log CB-D,101.90%,12.05,7.84E+05,,,,,,,,,
A6,SBG1,Sample,late CB-AD,122.22%,12.14,7.42E+05,,,,,,,,,
B1,SBG1,Standard,,75.66%,8.22,1.00E+07,,,,,,,,,
B2,SBG1,Standard,,79.09%,8.21,1.00E+07,,,,,,,,,
B3,SBG1,Sample,log CB-A,123.50%,11.47,1.16E+06,,,,,,,,,
B4,SBG1,Sample,log CB-A,140.93%,11.68,1.01E+06,,,,,,,,,
B5,SBG1,Sample,log CB-A,133.50%,11.77,9.47E+05,,,,,,,,,
B6,SBG1,Sample,late CB-AD,131.77%,12.37,6.34E+05,,,,,,,,,
C1,SBG1,Standard,,79.07%,12.16,1.00E+06,,,,,,,,,
C2,SBG1,Standard,,79.64%,11.94,1.00E+06,,,,,,,,,
C3,SBG1,Sample,log CB-AD,127.83%,11.58,1.07E+06,,,,,,,,,
C4,SBG1,Sample,log CB-AD,124.55%,11.02,1.56E+06,,,,,,,,,
C5,SBG1,Sample,log CB-AD,117.65%,11.06,1.52E+06,,,,,,,,,
C6,SBG1,Sample,late CB-AD,171.90%,11.39,1.22E+06,,,,,,,,,
D1,SBG1,Standard,,74.38%,15.34,1.00E+05,,,,,,,,,
D2,SBG1,Standard,,78.06%,15.37,1.00E+05,,,,,,,,,
D3,SBG1,Sample,early CB-D,146.73%,11.03,1.56E+06,,,,,,,,,
D4,SBG1,Sample,early CB-D,167.12%,11.2,1.39E+06,,,,,,,,,
D5,SBG1,Sample,early CB-D,150.06%,11.08,1.50E+06,,,,,,,,,
D6,SBG1,Blank,Blank,N/A,N/A,,,,,,,,,,
E1,SBG1,Standard,,55.97%,17.62,1.00E+04,,,,,,,,,
E2,SBG1,Standard,,57.63%,18.07,1.00E+04,,,,,,,,,
E3,SBG1,Sample,early CB-A,166.49%,11.36,1.25E+06,,,,,,,,,
E4,SBG1,Sample,early CB-A,226.85%,10.73,1.90E+06,,,,,,,,,
E5,SBG1,Sample,early CB-A,156.53%,11.25,1.34E+06,,,,,,,,,
E6,SBG1,Blank,Blank,N/A,N/A,,,,,,,,,,
F1,SBG1,Standard,,32.66%,21.63,1000,,,,,,,,,
F2,SBG1,Standard,,31.95%,21.38,1000,,,,,,,,,
F3,SBG1,Sample,early CB-AD,167.87%,10.81,1.80E+06,,,,,,,,,
F4,SBG1,Sample,early CB-AD,161.59%,11.4,1.21E+06,,,,,,,,,
F5,SBG1,Sample,early CB-AD,143.61%,11.19,1.40E+06,,,,,,,,,
F6,SBG1,Blank,Blank,43.17%,31.49,1.866,,,,,,,,,
G1,SBG1,Standard,,24.07%,25.91,100,,,,,,,,,
G2,SBG1,Standard,,18.29%,24.96,100,,,,,,,,,
G3,SBG1,Sample,late CB-D,116.30%,12.04,7.93E+05,,,,,,,,,
G4,SBG1,Sample,late CB-D,260.54%,10.98,1.60E+06,,,,,,,,,
G5,SBG1,Sample,late CB-D,159.08%,11.45,1.17E+06,,,,,,,,,
H1,SBG1,Standard,,11.53%,29.85,10,,,,,,,,,
H2,SBG1,Standard,,25.82%,29.35,10,,,,,,,,,
H3,SBG1,Sample,late CB-A,132.26%,11.38,1.23E+06,,,,,,,,,
H4,SBG1,Sample,late CB-A,144.80%,11.72,9.81E+05,,,,,,,,,
H5,SBG1,Sample,late CB-A,155.48%,11.76,9.51E+05,,,,,,,,,
